character,dialogue
JESSE,"Guy eats ricin -- two, three days later he gets the flu or a heart attack or something and keels over. That’s what you said.  Untraceable back to us!"
JESSE,"You cook more tomorrow.  Meantime, I know just the guy to talk to."
WALT,"Well, I didn’t vote for that."
HANK,"One minute before they attacked me, somebody called my cell and told me to expect it."
JESSE,"So, like... what makes you the expert?"
JESSE,"We did, this one time.  Back when it was my aunt’s house, back before she died of cancer.  Was a possum. Big, freaky looking bitch."
HANK,"That’s exactly what I’m sayin’. Now deal, you little prick."
SKYLER,"Yeah,  thought so, too.  The truth is, he never took their money -- not a dime.  He was too proud to take what he considered to be charity."
GUS,Your new lab.
HANK,Nope.  Working on it.  So...
SKYLER,Hi.  Is everything okay?
JESSE,What do you want?
GUS,Where’d they cross?
SKYLER,"I’m just saying, you know?  We have a history.  He’s the father of my children.  And maybe what he did, he did --"
JESSE,Are you okay?
HANK,Yeah?  Who?
WALT,I gotta go.
WALT,This is between me and him.
JESSE,I already did my time.  Why don’t you just go get yourself a monkey?
SAUL,"Yeah.  There’s guns and glo-lites, and kids wear the vests and runa round in teams--"
MARIE,What the hell is this?
WALT JR,I only got nabbed ‘cause the other guys ran.
GUS,Listen to me.  You have one friend in this room.
WALT,"Absolutely.  An entire chain of events had to occur.  Fail-safes -- fail-safes and redundancies are built into such a system.  No one person, no one cause can be... attributed!  For instance, there was some sort of collision radar on the jet that may not have been working properly.  That is public record!  Look it up!"
GUS,"Well, when I first started out, I made a lot of mistakes.  More than I care to admit.  I wish I’d had someone to advise me.  Because this life of ours... it can overwhelm."
WALT,"That’s not why I’m here, Jesse. There’s more."
WALT JR,Here you go...  Got it.
JESSE,"I ain’t buying, ese.  I’m selling."
WALT,"Your money.  Saul is keeping it for you, so as soon as you’re feeling better..."
JESSE,"Money, mainly."
WALT JR,You know what?  This is bullshit!
HANK,Closer...
WALT,These are my good clothes.  I can’t go home smelling like a meth lab.
HANK,No shit.  Old man Walt’s tokin’ up? Did he even inhale?
HANK,"Marie, let the people who get paid to do this do this."
JESSE,You’re doing it.
JESSE,"Stove fuel... not enough of it. Lye.  You got the generic crap. Red Devil’s better.  Iodine, matches... also not my brand."
WALT,I’m just... we gotta be careful of the baby.
HANK,"Just a little.  And I SO do not care about that.  As far as I’m concerned, you never inhaled, okay? Like you said, cut to the chase. Do you remember if this Pinkman kid ever had an RV?"
JESSE,"No, I need it today.  Now."
SAUL,Hey-hey.  Escalating.  Stop.
WALT,"Bye, Son.  Hey, good work today."
WALT,But thank you anyway.  It was very kind of you and Elliott.
HANK,That’s the way it happened.
MIKE,"Well, of course.  Just trying to do the right thing."
WALT,For the good of my family.
JESSE,"What the hell, man?"
JESSE,"Nah, they’re onto that.  They got dogs that sniff around."
SAUL,That’s it?  That’s what you wanna buy?
WALT,Shoot.
SKYLER,Turning forty was a big deal.  I know I’m not looking forward to it.
SKYLER,I guess crime does pay.
SKYLER,#NAME?
SKYLER,a--Nbdio oI st ut apl t g peea ao as ltl tmt e thinking yet again rano h cf e ew s . h tircahnwgeasbeyohuarvior.
HANK,Yeah.
WALT,Elliott... this is... this is very appealing.  But you should know... I’ve got some... personal issues.
SKYLER,"Well, it’s a little late on that. This is what happens when you decide to pay our bills with drug money."
SKYLER,"Apparently, you know, even... parts of bodies..?  I mean, I couldn’t bring myself to go over there."
WALT,I sure hope we have enough.
SKYLER,"Hey, uh, did you know your Dad and I are thinking about maybe starting a business together?"
WALT JR,Fine.
HANK,"Well, it’s a long story, but I’m personally of the opinion that he’s moved on from weed and has graduated to selling crystal meth. Using it as a rolling lab."
WALT,"What, like a Winnebago?"
JESSE,Where we going?
JESSE,"‘Cause I never said I wouldn’t cook it!  ‘Cause it ain’t yours, it’s OURS!  Plural, bitch!"
SKYLER,"God, I could go for a glass of wine about now.  Do you wanna go -- sorry, never mind.  Ech.  Anyway."
WALT,You know why I do this.  I want security for my family.
SAUL,"Can you take a Xanax?  Cause, I got a drawer full of ‘em.  I, uh, I get ‘em from my --"
JESSE,‘Cause I just found out about ‘em.
JESSE,Yeah.  Me too.
SKYLER,"Oh, yeah?"
SKYLER,You worked here four years.  It’s a business you understand.  It’s a story people will believe.  Not Laser Tag.  This.  This is what we buy.
SKYLER,Eat it.
JESSE,Good.
SKYLER,Great.  Thanks Marie.
SKYLER,You’re not gonna mow?
WALT,You want something to drink?
JESSE,Right.  So you can get your five percent.
WALT,"dLoiseteenn,'t Jheeslps,e. beLlieinvgeermineg. onJutshti.n..gs Atrlyrigahntd? focus on getting better."
SKYLER,"Safe and cautious, that’s all I’m asking -- and that man is neither."
SKYLER,Yeah.
WALT,"No..?  My God, Walt.  Cocaine..?"
WALT,"You look nice, honey."
JESSE,"Tomás does tricks with firecrackers, huh.  Who’s Tomás?"
SKYLER,I could hardly believe it either. But he admitted it to me point- blank.  He was buying pot from a former student of his... this skeevy little shit.
JESSE,"You-you are not like how I remember you from class.  I mean, like, not at all."
JESSE,"Oh, gee, thanks.  Well...  Not interested.  I’ve got my own thing goin’ on.  Nice try saving your asshat brother-in-law."
WALT,"Well, can you recite it?"
WALT,You know.  Same.
GUS,Is there a ringing in your ears?
WALT JR,"MI'mom. pretty sure he didn't bring it,"
JESSE,#NAME?
SKYLER,Married couples can’t be compelled to testify against one another.  So there’s that.
JESSE,And you seriously wanna get high?!
JESSE,Yeah.  I’ll keep the peace.
MIKE,"I’m gonna need your full attention, Saul.  Jesse Pinkman.  Current whereabouts.  The sooner you tell me, the sooner you can get back to..."
HANK,"Yeah, exactly.  One whiff’ll kill you.  That’s why the moon suits."
MARIE,Here’s what you’re gonna tell them.
WALT,Where’s your belly button?  Where is it?  There it is!  I see it.
SKYLER,"And as with most things, the Devil is in the details.  So to begin with, what are we saying is the source of this money?"
WALT,Yes.  I know.
JESSE,These two...
WALT,Nice to meet you.
JESSE,Just hold onto it.  Hold it still.
GUS,Has Walter ever talked to you about why he got into this particular line of work..?
JESSE,"Ninety-six million dollars! Alright, ninety-six!  Million! Ninety-six to our three!"
SKYLER,"Because youre a liar, Walt."
JESSE,"... So, exactly what kind of contaminant are we dealing with here?"
JESSE,Tomorrow.  I’ll be in touch.
MARIE,"Well, I didn’t see that."
WALT,"Well, he asks a lot of questions about the cooking process.  I try to be as vague as possible, but I’ve got that guy Victor watching me, listening to every word I say..."
MARIE,I don’t know how to talk to him.  I don’t know what to say to him anymore.  I don’t know how to...
JESSE,Hey.  Sit down.
JESSE,"I am moving it around, alright! It’s not working!"
WALT JR,You’re completely out of your mind.
WALT,Yeah.  Better.
WALT JR,"Yeah, I need the police.  My dad pulled a knife on my mom.  He attacked her.  He’s dangerous and I think he might’ve killed somebody."
WALT,Will you please get your things together?  You and the kids.  This is our priority.
HANK,"Yeah, we’re not sure about that."
JESSE,"Good.  So, um.  You ready to talk some business?"
JESSE,"I'm good, I'm good, I'm good, Here, man Right here, right --"
WALT JR,"Then you’re both out of your minds! You’re full of shit, is what you are!  Both of you!"
HANK,What do those look like to you?
WALT,"Thank you, I know what Ebola is. Now tell me -- what would a West African virus be doing in our lab, hmm?"
SKYLER,You’re late.
JESSE,Wait.  Hold up.  Tell me why you’re doing this.  Seriously.
WALT,"That you believe I have some proprietary kind of... selfishness about my own formula.  Hmm?  Some sort of... overweening pride, I suppose, that you think simply overwhelms me.  Clouds my judgement."
HANK,"Well, it’s not that simple, Baby. There’s a little thing called The Const --"
WALT JR,"This is so stupid.  He’s not gonna change his mind, so we might as well save our breath."
HANK,Hey...
GUS,I’m told his product was more or less consistent with the quality I had come to expect.
JESSE,"Yeah, Baby!  It’s got PHEROMONES."
JESSE,You’re damn right it belongs to me.
JESSE,"Look, you had your bump.  We get this thing done and then you can have all you want."
WALT,Hi.
SAUL,"You wanna stay out of jail, dontcha?  You wanna keep your money and your freedom?  Because I’ve got three little letters for you:  I--R- -S.  If they can get Capone, they can get you."
GUS,"No, clearly you’re not.  No rational person would do as you have done."
HANK,"No, not that.  Why you calling me and not your dad?"
MARIE,Of course.  And I-I want him safe. But I can’t tell what he wants.  He won’t talk to me...
SKYLER,"Ah.  A “’Stang,” mm-hmm?"
JESSE,I will show you exactly how easy it is...
WALT,"Short speech.  You lost your partner today.  What’s-his-name, Emilio?  Emilio’s going to prison."
WALT,Chemistry is the study of what?
GUS,Say it.
SAUL,"Hey, what’re the parameters of this sobriety thing you got going?"
GUS,Do you mind...?
GUS,Where is Pinkman now?
WALT,Jesse..?
SKYLER,Please stop talking about dying --
SAUL,"Don’t you get it?  On the outside it’s a nail salon, right -- on the inside it’s the best money laundry a growing boy could ask for."
SKYLER,"No.  Oh my God... Walt, NO!"
SKYLER,"So he, every spare minute, Walt was at some card table somewhere.  At first he went to casinos, but then he realized that..."
HANK,"That’s the one.  I’m positive that little bastard’s got an RV, I just don’t know where he keeps it.  And until he actually leads me to it -- or does something! -- I’m stuck here, Marie.  I’m sorry."
WALT,I just wish there was something more that we could do.
JESSE,No one misses it more than me.
WALT,Not in here.
MIKE,Chow.  You have anything you wanna tell me?
HANK,"Oh, hey, uh, here."
JESSE,I heard it from the sister of the kid who shot him.
WALT,Really.
HANK,Brandon Mayhew.  I know you.
HANK,Mmm. Not the most we ever took.
JESSE,I dunno...
WALT,"I was, I was at home watching TV. Some, some nature program about elephants.  Skyler and Holly were in another room.  I could hear them on the baby monitor.  She was singing a lullaby."
GUS,Ah... morning.
WALT,"W-Why are you doing this?!  Why are you, why are you thinking this way? Is this to punish me?! --"
WALT,This COST me my family.
SKYLER,"Dinner’s almost ready, okay?"
WALT,"Skyler, I had nothing to do --"
JESSE,Hey.  It’s me.  Wait for the thing.
SKYLER,"Do you even know Walt?  I mean, how would he, of all people, buy a Laser Tag business?  It-it doesn’t add up."
WALT,"C'mon, let's get you outta here."
SKYLER,Just relax.  Just... close your eyes and let it...
JESSE,No.
WALT,Where’s the remote?
SAUL,"‘Kay.  Here’s your cash.  You’re out on the town, yeah, you’re “partying hearty,” you’re knockin’ boots with the chicky babes.  And -- uhh -- Who’s this?"
WALT,"No.  We sell it, we don’t smoke it."
HANK,"... THE single SHITTIEST week since 9/11 -- hands-down.  This is it!  We’re living it!  I mean, and I say this with some authority, ‘cause we definitely had some shitty weeks the last six months. But this right here?  Call Guinness, man.  Call... freakin’..."
WALT,"You wanna talk about trust, Jesse? Let’s talk about trust?  I told you NOT to cook my formula and you went ahead and did it anyway!"
MARIE,This is that Pinkman character?
WALT,"Yeah, well I know I would be in prison after this.  Prison or worse.  And I’d be right alongside you."
GUS,Understand?
SKYLER,"Walt, I don’t know what is going on with you lately --"
SKYLER,"We’re in the process of moving him out.  Yeah.  Today, hopefully.  In the meantime, my son and daughter and I are staying with my sister."
SKYLER,We’re married.  How am I not in this?
SKYLER,"Okay, thanks."
MIKE,"Now, just what the hell was that, exactly?"
MIKE,"Yeah, unfortunately, I do, Walter. Downstairs."
JESSE,Who’s here? --
GUS,"You would choose your own hours, of course, come and go as you please. So long as the quota is met."
HANK,A hospital bed.
MARIE,Please.  It’s tens of thousands of dollars --
WALT JR,"Dad, Mom and Aunt Marie, they told me you were arrested!  They’re saying you’re some kind of drug dealer!"
HANK,"Hey, check it out, Walt -- these assholes like their shoeboxes better’n Bank Of America."
MIKE,"Walter.  The sooner you figure out what this is, the sooner we all go home."
SKYLER,"So... this is it, honey."
HANK,Go back to your trailers... everything’s okay.
SKYLER,It’s like I’m paralyzed.  Like if I take a step in any direction I’m gonna make a spectacular mistake.
HANK,"Marie...  Give up... I mean, seriously.  It’s... not... gonna happen."
JESSE,"You can’t get your nut up to sell, what’s the point of even coming?"
JESSE,"That’s ours, right?"
WALT,T Sky? Whhiant kdIomyoauy juthsintk?keep this.
SKYLER,Yes.  He’s a high school teacher. Chemistry teacher.
JESSE,"You, uh, you Tomás?"
SAUL,Bzzt!  Wrong!  Million times worse - - you’re a tax cheat!  What do they do?
SKYLER,He’s fine.  What do you mean?
JESSE,"No... listen to me, you get that address..."
SAUL,Wha-what did we say about escalating?  Huh?  Who’s got your back here?  Me.  Alright.  I’m gonna take care of things.
SKYLER,What?
HANK,I didn’t see it coming.
HANK,"Nah, I didn’t see shit.  Day late and a dollar short, as usual.  Only reason I’m even breathing is I got a warning call."
WALT,Name one thing in this world that is not negotiable.
JESSE,See?  I told you I got it.
HANK,With the Drug Enforcement Administration.   We’re interested in an RV that’s registered to your name and address.
WALT,Options.
SKYLER,"“Hey everybody, Walt suddenly decided to invest in laser tag! Just out of the blue!”  Really? That’s what we’re supposed to tell people -- our family, our friends... the government..."
SAUL,"That’s the way of the world, kid. You go with the winner."
SKYLER,"Love you, too."
WALT,What about you?
GUS,I need two hundred pounds per week to make this economically viable.
JESSE,Bet that’s it.
JESSE,"Oh, and you know that buzzer thing?"
JESSE,Burgers are getting cold.
WALT,"Well, I do.  And I would prefer to die holding my head up high, rather than eating shit."
SAUL,“We’re GOOD?”  This constitutes “good” where you’re from?  My car is bugged --
MIKE,"No more half measures, Walter."
SAUL,"Wha --  You-you’re gonna need that money laundered, right?  I mean, of course."
JESSE,"And you can never talk to anyone, right?  I mean ever, understand?"
JESSE,"I guess he was like a Marine or somethin’, before he got old.  He was hard of hearing.  My, uh... my project for his class was to make this, um, wooden box.  Like a small... um... just, like..."
SKYLER,"Hey, I don’t love this situation, alright?  That you put me in! However, let’s just stick with what makes sense here:  You took the seed money you won gambling, you invested it in the car wash that you helped run for four years.  You hired your wife as a bookkeeper, because guess what?  She’s actually a bookkeeper.  Now, that is a story an auditor can believe.  So what am I missing?"
HANK,I’m not letting this sucker outta my sight.  There’s gotta be a way. There’s gotta be a way...  There’s gotta be a way...
JESSE,Positive what?
WALT,He’s here.
WALT,My partner was about to get himself shot.  I intervened.
GUS,"Now, I intend to keep Walter on for as long as he wants, assuming he’s physically up to it.  But as he cannot or will not tell me how long that might be..."
JESSE,"Okay, so, good.  Great."
WALT,You know what?  Call me crazy.  But I-I’m actually feeling very good about the future.
JESSE,"Free to cook anytime, anywhere. No quotas.  No one to answer to."
SAUL,"Besides, this dump isn’t gonna work because it doesn’t have a Danny. Okay?  There’s no Danny here!"
JESSE,"I’m out risking my ass to get product for you two, and you’re too pussy to sell?!  You’re pathetic."
WALT,"People will believe it, at least. I worked here four years."
WALT,"This is...  I...  Jesse, I-I am... so sorry for this.  This should not have happened."
SKYLER,Mmm.
JESSE,How ‘bout we stop somewhere afterward and get a beer?
GUS,What would you like to happen?
WALT,"Wouldn’t miss it for the world. Happy birthday, Elliott."
WALT,Sometimes... compromises have to be made...  For the best of reasons.
WALT JR,"So, nine AM Saturday."
MIKE,"Okay, Junebug, these are for you?"
WALT,What the hell are you doing? --
WALT,Wait.
HANK,"Amir, this guy’s name is?  Jesus. Call Homeland Security."
WALT,"Well, I hate to break it to you, Jesse, but our --"
SKYLER,Yes.  I would like you both to be there.  Please.
JESSE,"Turned out that the, um, the cancer, had spread to her brain and that was why.  It, um, metastasized.  But it was good that was when we decided to, you know, take her to the doctor ‘cause then we knew what was up.  You know, got her some treatment.  Meds."
WALT,Uh... yes.  Okay... okay.  I’ll be there.
JESSE,"I mean, literally.  It’s-it’s so gross.  They have to LICK his JUNK. I-I-I can’t believe they even showed it on TV."
HANK,See it?
MIKE,"Have a seat, Walter."
JESSE,"Hey, yo, yo!  Yo, you got champagne?  None of that cheap stuff.  I want the expensive shit."
JESSE,"So, what do we do?"
SKYLER,"Uh, yes I do.  I have... concerns."
SKYLER,Hey.
SKYLER,Walt... no.
MARIE,"Wow.  He gives you all this time off, and now this?  Get me a job there."
WALT,Yeah.
WALT,"They’ve got me at the laundry and they’re gonna kill me.  Jesse, do it now!  Do it fast.  Do it, Jesse. Do it!"
SKYLER,"...he realized that the casinos report your winnings to the IRS. And if it gets reported, your family might find out, and if you do not want your family to find out... then you find another place to gamble.  Like an illegal, backroom game.  You remember all those “long walks” that Walt used to take?  All that time he used spend away from home?"
MARIE,And you made one mistake --
WALT,"That’s two.  Alright, let’s close it up."
WALT,... And if they ever found out...
WALT,"But you have to work to get it. You have to turn it into cash. This money?  This you get for doing nothing.  What I’m offering you is right here, right now."
SKYLER,He’s actually a nice guy.  He doesn’t push.
SKYLER,"No, I’m fine."
WALT,Then where are we going to work?
SKYLER,Wait.  Take the Talking Pillow.
HANK,... Where you headed?
SAUL,Yeah.
HANK,"Well, I don’t need one if I’ve got probable cause, counselor."
JESSE,"‘Cause he’s a DUMBASS, that’s why. Ohh... god."
WALT,"I’m quite well, thank you."
WALT,I’ve got two already.
SAUL,“Jesse-Pinkman-In-The-Phone-Book”
SAUL,"Well, let’s brainstorm."
WALT,And it is.  It will be.
SKYLER,Three.  Six hours’ notice.
MARIE,Yeah.
MIKE,"Saul, don’t make me beat you till your legs don’t work.  Now tell me where to find him."
WALT,No!  Jack!  No!
SKYLER,"Later, Ted.  Not now."
HANK,Jesus.  You sure the cancer hasn’t metamorphosized to Walt’s brain?
JESSE,"Hang on, can’t you just -- we gotta hash this out!  Hey!"
WALT,One issue which troubles me.  I don’t know what happens when our three month contract ends.
WALT,"Good.  That’s good.  The uh, the rehab..?  It helped?"
MARIE,"Well, I just heard about a certain patient... named Schrader-comma- Hank..."
HANK,"They’re recreational vehicles, Marie, that’s what they do."
GUS,Wait outside.
GUS,How is your brother-in-law?
JESSE,We gotta do it again.
WALT JR,"Yeah, sure.  Alright, seeya, Dad."
JESSE,"What, I can’t work a scale now?"
HANK,Nah.
JESSE,You’re telling me you’re cooking again? --
SAUL,"So.  Walt tells me that you have, uh, some concerns I can alleviate."
JESSE,"No, no, no, no. Nah.. •"
JESSE,"What are we, running a charity?! C’mon man, we’re gonna take it out!"
HANK,Muscle memory.
JESSE,And that’s not psycho to you.
GUS,What can I do for you?
SKYLER,"Hey, Walt, it’s me.  Just thought I’d try you again.  We’re just wondering what time you think you might be back.  Give us a call and let us know, okay?"
JESSE,"It’s ridiculous?  What, so you’re saying it’s not gonna work?  How about back when it was YOUR plan? Back when we were gonna use it on Tuco?"
WALT,"No.  That...  No, no...  That was the moment.  That night.  I should never have left home.  Never gone to your house.  Maybe things woulda..."
WALT JR,Stop it!  Stop!  Stop it!
WALT,... what is?
WALT,Hank?  Do you think I might get to go inside?  See the lab?
MARIE,"Hank, this isn’t about the insurance.  I’ve talked to everybody -- and they all say that you are healthy enough to go home."
SKYLER,"Um, if we’re going to go down this road... and clearly we are, for the sake of my brother-in-law..."
HANK,Fine.  You want your warrant?  I’ll have my guys bring it and deliver it to you on a little satin pillow. How’s that?
HANK,"Well, three cheers for me."
MARIE,Good!  We’re good.  How are you?
JESSE,Yeah.  That was before I found out you got a kid.  What kind of mother are you?
SKYLER,Who else would we trust?
JESSE,We can do better.
WALT,"Yes, it’s ours.  Now put it away. What the hell is wrong with you?"
MARIE,Flynn.  Hey.
HANK,"Ah, here we go.  Finally."
SAUL,"Well... next time plan for it, wouldja?!  The Starship Enterprise had a self-destruct button!  I’m just saying."
HANK,Why not?
JESSE,Yeah?
WALT,So who are you?
JESSE,"Yo, so... what’s next?"
JESSE,Let’s kick it back into gear. Alright?  Let’s start slingin’ again.
MARIE,"They’re gonna start coming in weekly like that, so..."
JESSE,"I ain’t buying no damn nail salon, so just forget it!"
SKYLER,"This isn’t some game, Marie!  This is my husband’s life we’re talking about!  Why are you trying to sabotage us?!"
JESSE,"Just try and stop me, bitch! --"
SKYLER,#NAME?
SKYLER,"Well... no... I don’t pretend to understand, you know, all the details, but he was convinced that if he put enough money into it, he’d have a, um... uh --"
WALT,"Family or no, you let that sink in."
JESSE,Stands in the way of what?
JESSE,Told ya.  Dude’s totally boning us.
SKYLER,Of course!  But you know Walt -- he’s like a brick wall.  He doesn’t talk about his feelings.  Right now we’re barely on speaking terms.
MARIE,"Hi, Sweetie."
JESSE,Maybe later.
SAUL,Is that you talking... or Yoko Ono?
JESSE,It’s not right.
GUS,You vouched for him previously.  I took you at your word.
GUS,Your medical condition.  Has it grown worse?
JESSE,"Uh, yeah, no -- I think you’re good."
MARIE,You’ll be just as comfortable at home as you are here.  You’ll have all the same equipment.
HANK,I’m alright.
WALT,I’m... I understand.  I’m fine.
WALT JR,I have homework to do.
JESSE,"You can’t “order” shit, Adolf, alright?  We’re 50/50 partners, remember?"
WALT,"Yeah, well, you know best, right? Anything else?"
JESSE,Uuuuhh...  Christ!
SAUL,"Gentlemen.  If we could come to some accommodation here, now. There’s always a way to oil everyone’s lock."
SAUL,Do NOT touch anything on my desk.
WALT JR,Thank you.
MARIE,Did you find it?  The RV?
WALT JR,That’s what I said!
MARIE,I thought that Elliot and Gretchen paid for your treatment.
WALT,Yeah..?
MARIE,Ooo...  From the US Attorney in Santa Fe!  Very nice!
SAUL,Makes more sense than you two being together!  I’m still trying to figure out how that happened...
JESSE,No.
HANK,"I’m serious.  Call the FBI, see if he’s legal.  Might not be.  Ship his ass back to Camel-Land."
SKYLER,What is “Ice Station Zebra Associates?”
JESSE,OWWW!  GAH -- what is your PROBLEM?
JESSE,I own it.
WALT,Nine AM Saturday.
JESSE,Since when?
JESSE,Wait.  Tell me you didn’t buy all this from one single goddamn store.
SAUL,There it is.
MARIE,"It’s time to go home, Hank."
HANK,"Uhh, okay -- well --"
HANK,"I know, I know -- a condo in Georgetown, I know."
WALT,"Let me stop you right there, okay? You are not responsible for that. Not in any way, shape or form.  I am up to date on this thing -- probably far more so than you -- and there were a lot of factors at play there."
JESSE,Alright.  Definitely scared him. He’ll probably stay out of the way...
MIKE,Licensed?  Dependable?
SKYLER,You’re a drug dealer.
GUS,Has your condition worsened?
MARIE,"Hey, Flynn!  How’s tricks?"
JESSE,"What about, um, evaporation?"
JESSE,"I gotta pay taxes now?  What the hell’s up with that?!  That’s messed up, yo.  That’s Kafkaesque."
JESSE,You think this’ll stop me from cooking?!
HANK,"Girls, girls!  Cool it, alright? We’re supposed to be talking about"
JESSE,"Trust you?!  Trust you?  That- that’s a good one, yeah.  Yeah, that’s what I’m gonna do."
JESSE,I cook in one of those.  A big one.
WALT,Sonofa --
GUS,Would you take a drive with me?
GUS,You’d need a new assistant.
SAUL,Fourteen’s fair.
WALT,I can’t just quit.    I have a... something of a contract.
WALT,"No.  Thank you.  Let’s, please, let’s change the subject."
WALT,Yeah. How bout: that.?
MIKE,"Laredo, looks like."
HANK,Alright.  See you over there.
JESSE,Go easy.
GUS,I heard about it.  He should have let me take care of them.
WALT,"Yeah, I-I’ll be right there!"
WALT,Jesse. Jesse...
HANK,Ah hah-hah.  Sit and spin.
HANK,Whatcha looking at?
HANK,"I’m not at my best here, Marie..."
SKYLER,#NAME?
MIKE,"Now, I realize you two have a history, but this kid’s been on the bubble a while now.  It’s a long time comin’."
GUS,Why?  They’re doing nothing wrong.
MARIE,"The... equipment.  That you have here, that you need.  Short-term. You’ll do your p.t. at home, and it’ll be great.  Because you’ll be home."
MARIE,Boss hall of fame.  I don’t see anything here from Kleinman -- they’re gonna have to get on the stick.
MARIE,Isn’t that fantastic?
GUS,You’ll have to.  The decision isn’t yours to make.
WALT,You said no half measures.
MARIE,No.  Horses.  Arabian stallions.
JESSE,"Ah, man."
JESSE,"Just go there!  Go to his house and get it.  No one knew about it -- just me and his partner -- no one else knows, I swear!"
HANK,"Look Buddy, why don’t you just go out --"
SKYLER,A system for counting cards in Blackjack.
WALT,What’s that sound?
GUS,I have an offer that I think will interest you.
SKYLER,What about me?
WALT,“Cow-house?”
HANK,"Yeah, well, I needed some time here ‘cause I’m deep into this investigation and I couldn’t do both so I made a judgement call."
WALT,I’m “comforting.”  I’m a comforting presence.
SAUL,"What am I, eighth-grade hall monitor?  “Current whereabouts?” Lemme tell you something --"
SKYLER,#NAME?
JESSE,Yeah.
JESSE,"So, he’s their boy, huh?"
JESSE,"Okay, so... the universe took her to a door.  She got all obsessed with it and just had to paint it twenty times until it was perfect."
SKYLER,Where do you have in mind?
WALT,"I told you, Skyler, I warned you for a solid year -- cross me and there’d be consequences.  Now what didn’t you understand about that?"
HANK,Could you check again?
WALT,I’ll do that.
WALT JR,Not--me!  I want--bacon!
SKYLER,"But, how do I know that?  I mean, apparently you can’t even tell me the man’s name."
WALT,Uh... why?
HANK,"Look, buddy.  I know I don’t tell you often enough, but... I care about you... a helluva lot.  And... this whole cancer thing... let’s face it, you got dealt a shit hand of cards."
JESSE,Three hundred and twelve thousand?!
WALT,Six nights a week.  You get one night off.
MARIE,Hey there!
JESSE,Tell ‘em you’re busy.
WALT,You sure?  Last thing we need is to get locked out.
JESSE,BOO-YAH!  See?  What I say?
WALT JR,Why not?
WALT,Tuco... wanted to murder us.  These guys... don’t.  Apples and oranges! Do-do I really have to sit here and explain the difference to you?
WALT,This is all the money I have in the world.  You are a drug dealer. Negotiate.
SKYLER,"Let’s talk about this later, Ted, okay?"
MIKE,Because it’s moronic.
JESSE,What?  Mr. White..?
GUS,"Oh, it is.  But specifically, has he ever spoken to you about his health problems?"
JESSE,I’m doing it.  With or without you.
WALT,"It’s more than an assistant. Partners.  We’ll be partners again. Split everything.  Fifty-fifty, just like before."
MARIE,Catch the bad guys?
SAUL,You got your bumper cars over there down the way.  Got your arcade right here -- all the latest video games.  Snack bar’s over there. Nothing stopping you from selling beer to the parents.  That’s a whole new revenue stream...
HANK,"Who are we talking about, Mrs. Ortega?"
HANK,Aren’t you late for work or something?
SKYLER,"Well, just temporarily.  Only until he could get his things together. That was supposed to be last week, but then came the crash, and..."
JESSE,"Hey, wait.  Here..."
HANK,"People who say “guess what,” and then actually expect you to guess? I hate those people."
GUS,Good.  I’m glad.
SKYLER,To do homework or to play video games?
SKYLER,You wanna take her?
WALT,All set?
MARIE,"Well, um, not to bring up ancient history, but ..."
MARIE,You look nice.
WALT,“Get some air?”  Your answer to “We’re sliding head-first into a massive crap...”
SKYLER,"Apparently, they love you in Canada l"
JESSE,"Over by a pound and a half?  I thought you were all, like, “precise.”"
WALT,"Uh, Saul..."
HANK,I leave this hospital -- when I WALK outta here.  You understand?! And not before.
MIKE,How’s her driving?
MARIE,"Well, I’m sorry!  How am I supposed to help you get over this if you won’t even tell me what Walt DID?"
WALT,I don’t know it.
GUS,May I..?
JESSE,H-Huh. Yeah..
GUS,He’s dying of cancer.
MIKE,You’re a businessman.  The lady out front --
WALT,Two years.
SKYLER,No.  We need to talk.
MARIE,"I almost didn’t come here.  Christ, I barely even know who you are. And I sure as hell don’t know if I can ever trust you again."
SAUL,Can’t you see I’m in conference?
SKYLER,No.
SAUL,"You understand “Get Out of Jail Free” card, right?  I mean, just blink once if you’re following..."
JESSE,"I-I can’t do it, Mr. White.  Like you said, I’m-I’m not a..."
JESSE,"Oh god.  Oh, man.  Oh, I’m so dead."
MARIE,To hell with the plan.
WALT,It’s just basic chemistry.
HANK,Call me when you get this...
SAUL,"My guy’s no dummy, right?  So, I give us maybe twenty-four hours before he figures out that address goes nowhere."
WALT,Hey.
SAUL,Holy Christ.
HANK,He’s just going through a phase.
MARIE,Answer me.  Do you understand?
HANK,You put a hospital bed in my bedroom.
SAUL,Which client?
HANK,How is she..?  What’s her condition?
WALT,Guess I should’ve had breakfast this morning.
WALT,So it-it’s possible?
JESSE,"Yeah, I’ve been crunching numbers, and I don’t gotta be a mathematician to figure out this deal you made is bullshit."
JESSE,"It’s, um, it’s in a... laundromat. It’s totally corporate."
SAUL,"So, where’s the maestro?  He out parking the mini-van?"
WALT,No.
SKYLER,"Sit down, Walt."
HANK,"Yeah.  This is just, this is just sad...  I mean, I really feel sorry for you, Marie, you know, I really do.  It’s just, uh... it’s pathetic."
GUS,Never make the same mistake twice.
JESSE,"Look, I..."
WALT,Shut up and give me a hand here.
SKYLER,When does he start physical therapy?
HANK,Yeah.  Yeah.  Uh... a six?
WALT,"Well... my thinking is, by tapering the phenyl you get a oilier aqueous layer, and hence..."
SKYLER,"Flynn, could you put your seat belt on, please?"
WALT,Pinkman.
